"run_id","condition","rt","url","trial_type","trial_index","time_elapsed","internal_node_id","PROLIFIC_PID","SESSION_ID","STUDY_ID","preview","subject","age","gender","gender_rt","attention_check2","attention_check2_rt","attention_check1","attention_check1_rt","scenario","test_condition","InJu1","InJu1_rt","InJu1_trial1","InJu1_trial2","InJu1_trial3","conf1","ca1","sw1","rsn1","ca2","sw2","rsn2","ca3","sw3","rsn3","CS","CS_rt","CS_trial1","CS_trial2","CS_trial3","InJu2","InJu2_rt","InJu2_trial1","InJu2_trial2","InJu2_trial3","conf2","previous_experience","responses","stimulus","button_pressed","key_press","response","cog_practice","cog_practice1","cog_practice2","cog_practice3","cog_load_response8","cog_load_response0","reason","cog_load_response5","cog_practice_trial_number","InJu1_trial_number","CS_trial_number","InJu2_trial_number","Ju1_bin","Ju2_bin","InCS","j1","j2","j3","j4","j5","j6","ch1","ch2","ch3","ch4","ch5","Rch1","Rch2","Rs_changed","Rs_changed_tot","changed","changed_tot","rs1","rs2","rs3","rs4","rs5","rs6","rs1_bin","rs2_bin","rs3_bin","reason_always"
424,"cog_load","3695.2999999523163","debriefing_form.html","external-html",61,312195,"0.0-7.0","54905775fdf99b7255546dfe","618c496e091dd9b5edf10a2e","618c128dfba7721f72bf2b25",NA,"v52ngfke8f2bz25","33",1,1613.60000002384,1,19859.7999999523,8,14687.3000000715,"Heinz","cog_load","2","16101",1,0,0,3,0,0,0,0,1,0,0,1,0,2,13286.8999999762,1,0,0,"2","12842.600000023842",1,0,0,5,"no","""","""","""","""","""",2,0,2,0,"1","2","2","1",2,1,1,1,"wrong","wrong","It's wrong and I can provide a valid reason.","wrong","wrong","not wrong","not wrong","wrong","wrong",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,TRUE,2,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE
721,"control","37895.40000009537","debriefing_form.html","external-html",27,294974,"0.0-7.0","54f225d6fdf99b66cd167ef3","618c6990f4b5710fdc0fb396","618c128dfba7721f72bf2b1b",NA,"kf3ckuy9okdrdow","54f225d6fdf99b66cd167ef3",0,2103,1,15659.5999999046,8,32870.5,"Heinz","control","2","13365.600000143051",1,0,0,6,0,1,2,0,0,2,0,0,2,2,10629.2999999523,1,0,0,"1","5075",1,0,0,6,"No.","""","""","""","""","""",NA,NA,NA,NA,NA,NA,"He  was charging much more for the drug than was reasonable for him to make a good living. Also he had no reason not to let Heinz pay the remainder later.",NA,NA,1,1,1,"wrong","wrong","It's wrong and I can provide a valid reason.","wrong","not wrong","wrong","wrong","wrong","wrong",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,2,"unstated","2","2","2","reason","unstated","2","2","2",FALSE
263,NA,"8553.5","""","html-button-response",6,191023,"0.0-4.0-1.0","557481b5fdf99b1db34e6fd3","618c3fc4f33302f570d66b71","618c128dfba7721f72bf2b1b",NA,"62q0t84lloxr66j","61",0,1315.39999999106,1,5627.79999999702,8,8553.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""","<img src=""img/attention1.png""><br><p>Please select a word that describes how you are currently feeling:","8","""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unstated",NA,NA,NA,NA,"unstated",NA,NA,NA,NA
823,"cog_load","6401","""","survey-text",52,340285,"0.0-6.0","558bb476fdf99b21155f2dbf","618c9d8c821dde4bc5da0ddb","618c128dfba7721f72bf2b1b",NA,"3zbh3re3efd07w1","70",0,2165.89999999991,1,8009.79999999981,8,24206.7,"Incest","cog_load","2","14951.600000000093",1,0,0,6,0,0,2,0,0,2,1,0,2,1,8454.10000000009,1,0,0,"2","5125.699999999953",1,0,0,6,"no","{""Q0"":""no""}","""","""","""","""",2,1,0,0,"1","1",NA,"1",1,1,1,1,"wrong","wrong","It's wrong but I can't think of a reason.","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","2","2","2","no reason","unstated","2","2","2",FALSE
818,"cog_load","5191.799999982119","""","survey-text",60,557345,"0.0-6.0","559272f4fdf99b7e42e96932","618c9bb3d8a1b77098819dd4","618c128dfba7721f72bf2b20",NA,"dm8dq9u6gktdqtu","51",1,1837.5,1,29132.2999999821,8,38267.7999999821,"Heinz","cog_load","3","12582.800000011921",1,0,0,6,0,0,0,0,0,0,0,0,0,2,14884.099999994,1,0,0,"2","14209.40000000596",1,0,0,6,"no","{""Q0"":""no""}","""","""","""","""",2,0,2,0,"1","3","3","1",2,1,1,1,"wrong","wrong","It's wrong and I can provide a valid reason.","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE
869,"control","77774.90000009537","""","survey-text",25,493058,"0.0-6.0","5592fd82fdf99b59a8fb1e61","618ca9efabd22cd85a1dea30","618c128dfba7721f72bf2b1b",NA,"ra6dxt4hq1b3vy0","66",0,1862.39999997616,1,32388.3999999762,8,61486.6999999285,"Heinz","control","2","30602.399999976158",1,0,0,5,0,0,2,0,0,0,0,0,0,1,14024.5,1,0,0,"2","34577.300000071526",1,0,0,3,"no","{""Q0"":""the druggist hasn't done anything wrong but what about humanity,  the man stole which is wrong but you can see the reason why""}","""","""","""","""",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,"wrong","wrong","It's wrong but I can't think of a reason.","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1,FALSE,0,"unstated","2","reason","reason","no reason","unstated","2","reason","reason",FALSE
580,"control","23642","debriefing_form.html","external-html",27,220160,"0.0-7.0","559ac2c8fdf99b21ba9b0244","618c557addbbfec69a4e595d","618c128dfba7721f72bf2b11",NA,"omwwrj6aglmqjb2","53",0,1901,1,12826,8,22596,"Heinz","control","2","6154.000000000015",1,0,0,7,0,1,0,0,1,0,0,0,0,2,10683,1,0,0,"1","4814",1,0,0,7,"No","""","""","""","""","""",NA,NA,NA,NA,NA,NA,"He could have still made a living by charging less for the drug he would probably have made more money because would have sold more in my opinion",NA,NA,1,1,1,"wrong","wrong","It's wrong and I can provide a valid reason.","wrong","not wrong","not wrong","wrong","wrong","wrong",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,2,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE
489,"control","18618.99999999997","debriefing_form.html","external-html",27,275607,"0.0-7.0","559da2ccfdf99b31e5c871ed","618c4e521365b0fbe35d4781","618c128dfba7721f72bf2b1b",NA,"tfeup040qxu1hcw","59",0,4041,1,22043,8,31985,"Jennifer","control","1","6260.000000000015",1,0,0,7,0,0,0,0,0,0,0,0,0,2,8047,1,0,0,"1","8250",1,0,0,7,"No","""","""","""","""","""",NA,NA,NA,NA,NA,NA,"Cannabilism is morally wrong",NA,NA,1,1,1,"wrong","wrong","It's wrong and I can provide a valid reason.","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE
251,"control","61931.19999998808","debriefing_form.html","external-html",27,475640,"0.0-7.0","55a7d0a1fdf99b65badeeed7","618c3edf59557429da3a7c02","618c128dfba7721f72bf2b33",NA,"ltdsyxjmr4auoew","40",0,2010.5,1,22111.8000000119,8,48313.2999999523,"Trolley","control","5","25789.100000023842",1,0,0,3,0,0,2,0,0,2,0,0,2,2,6577,1,0,0,"2","12647.299999952316",1,0,0,6,"No","""","""","""","""","""",NA,NA,NA,NA,NA,NA,"The fat man didn't choose to sacrifice himself. Paul has technically murdered him in order to save the five other people.",NA,NA,1,1,1,"right","wrong","It's wrong and I can provide a valid reason.","not wrong","wrong","wrong","wrong","wrong","wrong",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,1,"unstated","2","2","2","reason","unstated","2","2","2",FALSE
636,"control","2697.7999999523163","""","survey-text",25,211836,"0.0-6.0","55ab63cafdf99b2dcdcc1ff2","618c59912dcb11e0eb541bf2","618c128dfba7721f72bf2b20",NA,"gy5pxrgq7lwpo59","48",1,2266.79999995232,1,9150.60000002384,8,12186.3999999762,"Heinz","control","2","5207.899999976158",1,0,0,5,0,0,2,1,0,2,0,0,2,1,4646.70000004768,1,0,0,"2","7858.900000095367",1,0,0,4,"No","{""Q0"":""}","""","""","""","""",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,"wrong","wrong","It's wrong but I can't think of a reason.","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","2","2","2","no reason","unstated","2","2","2",FALSE
