"participant","lfdn","external_lfdn","tester","dispcode","lastpage","quality","duration","c_0001","c_0002","consent","gender","age","normQ","Nrm_el","v_193","v_194","v_203","v_195","v_196","v_204","v_197","v_198","v_205","InJu1","v_206","v_207","v_208","v_209","v_210","v_211","v_212","v_213","v_214","Int_Rsn","hrm_st","nrm_st","v_224","v_225","v_226","v_227","v_228","v_229","v_230","v_231","v_232","InCf1","InRem1","InSWr1","InAR1","InRem2","InSWr2","InAR2","InRem3","InSWr3","InAR3","InCS","InStR","string_coded","critical_slide_wrong","Dumb_incl_string","v_215","v_216","v_217","v_218","v_219","v_220","v_221","v_222","v_223","InJu2","v_233","v_234","v_235","v_236","v_237","v_238","v_239","v_240","v_241","InChM","InCf2","v_181","Hrm_rel","Hrm_oth","hrm_Qs","InIrr","InCu","InRsn2","InGut","pot_hrm","box","rugb","NFC1","NFC2","NFC3","NFC4","NFC5","NFC6","NFC7","NFC8","NFC9","NFC10","NFC11","NFC12","NFC13","NFC14","NFC15","NFC16","NFC17","NFC18","ethics","ethStR","condition","cog_load_test","cog_load_CS","cog_load_CS_num","Ju1_bin","Ju2_bin","wrong1","wrong2","NFC3R","NFC4R","NFC5R","NFC7R","NFC8R","NFC9R","NFC12R","NFC16R","NFC17R","NFC_tot","NFC","pot_hrm_bin","all_harm","all_harm_norm","nrm_all","Roz_fully_C","j1","j2","j3","j4","j5","j6","ch1","ch2","ch3","ch4","ch5","Rch1","Rch2","Rs_changed","Rs_changed_tot","changed","changed_tot","rs1","rs2","rs3","rs4","rs5","rs6","rs1_bin","rs2_bin","rs3_bin","reason_always","cog_Mch_num","Dumb_response","engaged","right_change","wrong1b","wrong2b"
1,57,0,"no tester","Suspended (22)","2156737                     ",NA,887,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",51,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","You aren't supposed to violate an established norm no matter if one is directly  harmed as a result.  If you violate them someone is going to be hurt.  It may not be because of your actions directly but it's still wrong.                                  ","quoted","quoted","not quoted","quoted","quoted","not quoted","not quoted","not quoted","not quoted",1,"not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","quoted","not quoted","Incest is morally wrong.  Even if they took precautions it's still wrong.  Just because no one got hurt doesn't make it Ok.                                                                                                                                   ","no harm mentioned","norms mentioned","quoted","quoted","not quoted","quoted","quoted","quoted","not quoted","not quoted","not quoted",7,"Yes","Yes","No, I have no reason","Yes","Yes","No, I have no reason","Yes","Yes","No, I have no reason","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",NA,NA,"It's wrong but I can't think of a reason.","quoted","quoted","not quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted",1,"not quoted","quoted","not quoted","quoted","not quoted","not quoted","quoted","quoted","not quoted","1: Not at all",7,"Extremely difficult","Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all",1,"7: Extremely",2,"No","No",7,7,6,6,6,7,7,9,7,9,7,3,7,9,7,6,3,9,"No","-99                                                                                                                                                                                                                                                           ","cog_load",FALSE,FALSE,7,"wrong","wrong","wrong","wrong",4,4,4,3,1,3,7,4,7,106,0.888888888888889,"wrong","true","false","false","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","no reason","no reason","no reason","no reason","unstated","no reason","no reason","no reason",FALSE,1,"admission","engaged","dumbfounded","wrong","wrong"
2,11,0,"no tester","Completed (31)","2154372                     ",NA,539,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",52,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","quoted","not quoted","It does not affect me or anyone but the two of them. They were consenting adults and no one or the planet was harmed.                                                                                                                                         ","no harm mentioned","norms not mentioned","quoted","not quoted","not quoted","not quoted","quoted","not quoted","quoted","quoted","not quoted",5,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","quoted","not quoted","not quoted","not quoted","quoted","not quoted","quoted","quoted","not quoted",4,"not quoted","quoted","not quoted","quoted","not quoted","not quoted","quoted","quoted","not quoted","1: Not at all",5,"Very difficult","Yes, I am able to believe this","Yes, I am able to believe this","no harm","4: neutral","2",6,"5",4,"No","No",6,7,2,4,4,7,2,7,5,7,7,2,5,7,6,4,2,7,"No","-99                                                                                                                                                                                                                                                           ","cog_load",TRUE,FALSE,5,"neutral","neutral","not wrong","not wrong",8,6,6,8,3,5,8,6,8,117,1.5,"neutral","true","true","true","true","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,2,"nothing wrong","not engaged","nothing wrong",NA,NA
3,22,0,"no tester","Completed (31)","2154372                     ",NA,283,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",32,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","quoted","not quoted","It doesn't hurt anyone, and historically it probably happened anyway.                                                                                                                                                                                         ","no harm mentioned","norms not mentioned","quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted","not quoted",6,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted",4,"not quoted","quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","quoted","1: Not at all",7,"Easy","Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all",7,"3",4,"No","No",6,9,1,3,1,9,1,7,7,9,9,1,8,8,7,2,3,4,"No","-99                                                                                                                                                                                                                                                           ","cog_load",TRUE,TRUE,9,"neutral","neutral","not wrong","not wrong",9,7,9,9,3,3,9,8,7,133,2.38888888888889,"neutral","true","true","true","true","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,5,"nothing wrong","engaged","nothing wrong",NA,NA
4,50,0,"no tester","Completed (31)","2154372                     ",NA,332,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",22,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","quoted","not quoted","It was consensual between two adults, and nobody was hurt.                                                                                                                                                                                                    ","no harm mentioned","norms not mentioned","quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted","not quoted",7,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","quoted","quoted","not quoted","not quoted","not quoted","quoted","not quoted","not quoted","not quoted",4,"not quoted","quoted","not quoted","quoted","not quoted","quoted","quoted","not quoted","not quoted","1: Not at all",7,"Difficult","Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all",7,"1: Not at all",4,"No","No",6,5,2,4,6,7,2,2,4,6,6,1,6,7,7,1,1,7,"No","-99                                                                                                                                                                                                                                                           ","cog_load",TRUE,FALSE,8,"neutral","neutral","not wrong","not wrong",8,6,4,8,8,6,9,9,9,124,1.88888888888889,"neutral","true","true","true","true","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,3,"nothing wrong","engaged","nothing wrong",NA,NA
5,82,0,"no tester","Completed (31)","2154372                     ",NA,313,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",26,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","I feel like it's wrong to violate an established moral norm, even if no one is harmed in the process.                                                                                                                                                         ","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","quoted","not quoted","It's wrong for Julie and Mark to have done that. Even if no one knew, they are brother and sister. Therefore I don't consider their acts morally right.                                                                                                       ","no harm mentioned","norms mentioned","quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted","not quoted",7,"Yes","Yes","No, I have no reason","Yes","Yes","No, I have no reason","Yes","Yes","No, I have no reason","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",NA,NA,"It's wrong but I can't think of a reason.","quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted","not quoted",1,"not quoted","quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","quoted","1: Not at all",1,"Easy","Yes, I am able to believe this","Yes, I am able to believe this","no harm","7: Extremely Irritated","2",1,"7: Extremely",5,"No","No",2,8,9,3,5,7,3,7,7,1,2,7,3,7,9,7,5,8,"No","-99                                                                                                                                                                                                                                                           ","cog_load",TRUE,FALSE,7,"wrong","wrong","wrong","wrong",1,7,5,7,3,3,3,3,5,84,-0.333333333333333,"right","true","false","false","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","no reason","no reason","no reason","no reason","unstated","no reason","no reason","no reason",FALSE,5,"admission","engaged","dumbfounded","wrong","wrong"
6,55,0,"no tester","Completed (31)","2154372                     ",NA,599,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",25,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","quoted","quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted","quoted",4,"not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","quoted","not quoted","These are two consenting people deciding to do something they are both interested in.  Nobody has to know and it shouldn't matter what they both choose to do.                                                                                                ","no harm mentioned","norms not mentioned","quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted","not quoted",7,"Yes","No","No, I have no reason","Yes","No","No, I have no reason","Yes","No","No, I have no reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted",4,"not quoted","quoted","not quoted","quoted","not quoted","quoted","quoted","not quoted","not quoted","1: Not at all",7,"Very easy","Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all",4,"7: Extremely",4,"No","No",4,2,4,6,6,6,9,4,8,4,3,1,7,9,3,4,8,8,"Yes","I took a course on Ethics in college several years ago.                                                                                                                                                                                                       ","cog_load",FALSE,TRUE,9,"neutral","neutral","not wrong","not wrong",6,4,4,1,6,2,9,6,2,86,-0.222222222222222,"neutral","true","true","true","true","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","no reason","no reason","no reason","unstated","unstated","no reason","no reason","no reason",FALSE,6,"nothing wrong","engaged","nothing wrong",NA,NA
7,24,0,"no tester","Suspended (22)","2154324                     ",NA,423,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",37,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","quoted","not quoted","They can do what they want if they are not affecting anyone else                                                                                                                                                                                              ","no harm mentioned","norms not mentioned","quoted","not quoted","quoted","quoted","quoted","not quoted","not quoted","not quoted","not quoted",5,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","quoted","quoted","not quoted","not quoted","not quoted","quoted","not quoted","quoted","not quoted",4,"not quoted","quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","quoted","1: Not at all",5,"neither difficult nor easy","Yes, I am able to believe this","Yes, I am able to believe this","no harm","2","1: Not at all",6,"5",3,"No","No",7,7,7,3,3,7,6,6,4,7,7,4,7,9,8,7,4,6,NA,"-66                                                                                                                                                                                                                                                           ","cog_load",TRUE,FALSE,7,"neutral","neutral","not wrong","not wrong",3,7,7,4,4,6,6,3,6,111,1.16666666666667,"wrong","true","true","true","true","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,4,"nothing wrong","engaged","nothing wrong",NA,NA
8,39,0,"no tester","Completed (31)","2154372                     ",NA,350,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",32,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted",5,"not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","quoted","not quoted","best choice based on the information provided in the survey                                                                                                                                                                                                   ","no harm mentioned","norms not mentioned","quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted",7,"Yes","No","No, I have no reason","Yes","No","No, I have no reason","No","No","No, I have no reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","quoted","quoted","quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted",4,"not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","quoted","6",7,"Very easy","Yes, I am able to believe this","Yes, I am able to believe this","no harm","3","5",4,"6",3,"No","No",5,4,9,8,6,3,2,5,1,7,4,8,4,4,3,2,7,6,"No","-99                                                                                                                                                                                                                                                           ","cog_load",FALSE,FALSE,4,"right","neutral","not wrong","not wrong",1,2,4,8,5,9,2,8,3,82,-0.444444444444445,"wrong","true","true","true","true","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","no reason","no reason","no reason","unstated","unstated","no reason","no reason","no reason",FALSE,6,"nothing wrong","not engaged","right initially","not wrong",NA
9,7,0,"no tester","Suspended (22)","2155874                     ",NA,-1,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",55,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",3,"not quoted","quoted","quoted","not quoted","quoted","not quoted","quoted","quoted","not quoted","their business. no real harm. best not to repeat                                                                                                                                                                                                              ","no harm mentioned","norms not mentioned","not quoted","quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted",4,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted",4,"not quoted","quoted","not quoted","quoted","not quoted","quoted","quoted","not quoted","quoted","5",7,"Difficult","Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all",5,"6",3,"Yes","No",8,8,2,2,2,7,2,5,4,7,7,3,7,7,7,2,1,7,"No","-99                                                                                                                                                                                                                                                           ","cog_load",TRUE,TRUE,9,"wrong","neutral","wrong","not wrong",8,8,8,8,5,6,7,8,9,132,2.33333333333333,"wrong","true","true","true","true","wrong","not wrong","not wrong","not wrong","not wrong","not wrong",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,1,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,3,"nothing wrong","engaged","nothing wrong","wrong",NA
10,72,0,"no tester","Completed (31)","2154372                     ",NA,439,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",22,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","quoted","quoted","quoted","not quoted","not quoted","not quoted","not quoted",4,"not quoted","not quoted","quoted","quoted","quoted","not quoted","quoted","not quoted","not quoted","Please provide the reason for your judgement in the space below:                                                                                                                                                                                              ","no harm mentioned","norms not mentioned","not quoted","not quoted","quoted","quoted","quoted","not quoted","quoted","not quoted","not quoted",4,"Yes","Yes","Yes, I have a reason","Yes","Yes","Unsure","Yes","No","No, I have no reason","It's wrong and I can provide a valid reason.","Please provide your reason below:                                                                                                                                                                                                                             ","statement without reason",NA,"It's wrong and I can provide a valid reason.","not quoted","quoted","quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",4,"not quoted","not quoted","quoted","quoted","quoted","not quoted","quoted","not quoted","not quoted","4: neutral",4,"neither difficult nor easy","Yes, I am able to believe this","Yes, I am able to believe this","no harm","4: neutral","4: neutral",4,"4: neutral",4,"Yes","Yes",4,5,5,5,5,5,5,6,5,4,6,2,2,4,6,7,6,2,"No","-99                                                                                                                                                                                                                                                           ","cog_load",FALSE,FALSE,5,"neutral","neutral","not wrong","not wrong",5,5,5,5,4,5,8,3,4,82,-0.444444444444445,"neutral","true","true","true","true","not wrong","wrong","wrong","not wrong","wrong","not wrong",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,TRUE,4,"unstated","reason","unstated","no reason","reason","unstated","reason","no reason","no reason",FALSE,4,"reasons","not engaged","reasons",NA,NA
