"run_id","condition","rt","url","trial_type","trial_index","time_elapsed","internal_node_id","PROLIFIC_PID","STUDY_ID","SESSION_ID","subject","age","gender","gender_rt","attention_check2","attention_check2_rt","cog_practice","CS_rt","cog_practice1","cog_practice2","cog_practice3","cog_load_response8","attention_check1","attention_check1_rt","scenario","test_condition","InJu1","InJu1_rt","InJu1_trial1","InJu1_trial2","InJu1_trial3","cog_load_response0","responses","stimulus","button_pressed","key_press","response","conf1","ca1","sw1","rsn1","ca2","sw2","rsn2","ca3","sw3","rsn3","CS","CS_trial1","CS_trial2","CS_trial3","InJu2","InJu2_rt","InJu2_trial1","InJu2_trial2","InJu2_trial3","cog_load_response5","conf2","previous_experience","reason","gender_other","preview","country","cog_practice_trial_number","InJu1_trial_number","CS_trial_number","InJu2_trial_number","Ju1_bin","Ju2_bin","InCS","j1","j2","j3","j4","j5","j6","ch1","ch2","ch3","ch4","ch5","Rch1","Rch2","Rs_changed","Rs_changed_tot","changed","changed_tot","rs1","rs2","rs3","rs4","rs5","rs6","rs1_bin","rs2_bin","rs3_bin","reason_always"
705,"cog_load","4898","debriefing_form.html","external-html",54,321847,"0.0-7.0","54a7516dfdf99b7cd759d22b","618b9cbf713205f8e1c56ef0","618c253efddd689f3def1701","69gl8t89nf04fpy","46",0,1558.39999997616,1,15370.1000000238,"1","10192.800000011921",1,0,0,"1",8,10830.8000000119,"Incest","cog_load",1,"17955.400000035763",1,0,0,"`1","""","""","""","""","""",6,0,1,1,0,0,0,0,0,1,"2",1,0,0,1,"6629.399999976158",1,0,0,"1",7,"no","morally, it is wrong",NA,NA,"US",1,1,1,1,"wrong","wrong","It's wrong and I can provide a valid reason.","wrong","not wrong","wrong","wrong","wrong","wrong",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2,TRUE,2,"unstated","no reason","reason","no reason","reason","unstated","no reason","reason","no reason",FALSE
349,"cog_load","1770.1000000014901","debriefing_form.html","external-html",67,334447,"0.0-7.0","558afc18fdf99b7dfef4d84e","618b9cbf713205f8e1c56eef","618bf9ec288394863fcde5ba","vnu7lbvyn5kmf4z","32",1,1146.19999999925,1,11429.6000000015,"2","14553.700000001118",1,0,0,"1",8,18777.7000000011,"Trolley","cog_load",4,"5890.0999999996275",0,0,3,"3","""","""","""","""","""",6,0,1,1,0,1,1,0,1,2,"0",1,0,0,4,"13352.300000000745",1,0,0,"1",6,"no",NA,NA,NA,"US",1,3,1,1,"neutral","neutral","There is nothing wrong.","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,FALSE,0,"unstated","no reason","no reason","2","unstated","unstated","no reason","no reason","2",FALSE
879,"control","5041.700000047684","""","html-slider-response",11,125449,"0.0-4.0-3.0-3.0","559d9916fdf99b1e2b2dc6b8","618b9cbf713205f8e1c56f02","618c4799d399455893297a3a","c73yubqyx0m3vo8","68",0,2164.79999995232,1,25187.4000000954,NA,NA,NA,NA,NA,NA,8,20071.7999999523,"Incest","control",1,"6182.099999904633",1,0,0,NA,"""","<p>How confident are you about your judgement?</p><p>(1 = Not at all Confident; 7 = Extremely Confident)</p>","""","""","7",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US",NA,1,NA,NA,"wrong",NA,NA,"wrong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unstated",NA,NA,NA,NA,"unstated",NA,NA,NA,NA
782,"cog_load","null","""","html-slider-response",38,272682,"0.0-4.0-1.0-4.0-2.0-2.0","55aa6c2ffdf99b632940aaaa","618b9cbf713205f8e1c56f02","618c3306327fe2dc3bb66dbb","xl1uo6eoloaynka","84",0,2380.89999997616,1,17922.5,"1","7271.600000023842",1,0,0,"2",8,33428.1000000238,"Incest","cog_load",NA,"null",0,0,3,NA,"""","<video autoplay muted><source src='video/num_scroll_test8.mp4' type='video/mp4'></video><br><p>How would you rate the behaviour of Julie and Mark?</p><p>(1 = Morally Wrong; and 7 = Morally Right)</p>","""","""","null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US",1,3,NA,NA,"null",NA,NA,"null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unstated",NA,NA,NA,NA,"unstated",NA,NA,NA,NA
864,"cog_load","10009.699999999255","""","survey-text",60,1034642,"0.0-6.0","55b0eabffdf99b2228330785","618b9cbf713205f8e1c56f02","618c41e391b1733eea1f2e42","6husm71n0gmds24","67",0,1621.80000000075,1,8871.09999999776,"2","18042.5",1,0,0,"1",8,6705.70000000298,"Jennifer","cog_load",7,"4106",0,2,0,"3","{""Q0"":""none""}","""","""","""","""",5,0,0,0,0,0,0,0,0,0,"2",1,0,0,1,"18262.10000000149",1,0,0,"0",6,"I don't think so.","Jennifer wasn't starving.  She was already a vegetarian.  There was absolutely NO reason for her to eat the flesh of another human being.",NA,NA,"US",1,2,1,1,"right","wrong","It's wrong and I can provide a valid reason.","not wrong","wrong","wrong","wrong","wrong","wrong",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,1,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE
681,"cog_load","52914.09999999404","debriefing_form.html","external-html",54,487719,"0.0-7.0","55bfa58afdf99b339da508c2","618b9cbf713205f8e1c56f02","618c21cf10c21af63433f639","q45qd15x9bd2zwt","58",0,3372.90000000596,1,35046.3000000119,"0","5043.20000000298",1,0,0,"1",8,15765.799999997,"Jennifer","cog_load",1,"5291.5",1,0,0,"2","""","""","""","""","""",4,0,0,0,0,0,0,1,0,0,"2",1,0,0,1,"4497.0999999940395",1,0,0,"1",5,"no","If she's a vegetarian for moral reasons, then eating the dead flesh of a human is equally as wrong as that of an animal, regardless of how the person died.",NA,NA,"US",1,1,1,1,"wrong","wrong","It's wrong and I can provide a valid reason.","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE
772,"cog_load","3496","""","survey-text",53,286032,"0.0-6.0","55cfefc334e9060012e573c0","618b9cbf713205f8e1c56efc","618c2edf0897e9a4992f2176","6wgmwdvowbjagz5","67",1,1592,1,26913,"1","4798.999999999971",1,0,0,"0",8,14218,"Heinz","cog_load",1,"9172",1,0,0,"1","{""Q0"":""no""}","""","""","""","""",6,0,0,0,0,1,0,0,1,0,"2",1,0,0,1,"6863",1,0,0,"0",6,"No","He doesn’t have to make such a big profit",NA,NA,"US",1,1,1,1,"wrong","wrong","It's wrong and I can provide a valid reason.","wrong","wrong","not wrong","not wrong","wrong","wrong",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,TRUE,2,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE
669,"control","7736.899999976158","debriefing_form.html","external-html",27,186870,"0.0-7.0","5615777c7ffc8a000a811c61","618b9cbf713205f8e1c56efc","618c1fab8801bc7ce2b36b36","jcpvcqhd9twp7no","60",1,1611.79999995232,1,4812.89999997616,NA,"5559.700000047684",NA,NA,NA,NA,8,10166.6000000238,"Heinz","control",2,"5545",1,0,0,NA,"""","""","""","""","""",6,0,0,0,0,1,0,0,1,0,"2",1,0,0,2,"5729.100000023842",1,0,0,NA,7,"yes, pretty common on mturk and prolific","it's wrong not to help save someone's life. Druggist could have offered payment plan, barter, etc. He was taking advantage. No one should refuse someone else lifesaving medication",NA,NA,"US",NA,1,1,1,"wrong","wrong","It's wrong and I can provide a valid reason.","wrong","wrong","not wrong","not wrong","wrong","wrong",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,TRUE,2,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE
908,"control","7212.39999999851","debriefing_form.html","external-html",27,314830,"0.0-7.0","5662218473ac8700058095b1","618b9cbf713205f8e1c56efc","618c4ba3f6d4a26719a55bd3","l2ta12fy5z0q5qh","63",1,1683.39999999851,1,14146.1999999955,NA,"7411.60000000149",NA,NA,NA,NA,8,17971.3999999985,"Heinz","control",1,"8275.29999999702",1,0,0,NA,"""","""","""","""","""",2,0,1,0,0,1,0,0,1,0,"2",1,0,0,1,"5745.39999999851",1,0,0,NA,3,"No.","The premis that the druggist needs to make a living is faulty. While it is true, the taking of the drug does not mean the druggist is unable to make a living. It means his living is not as affluent as he would like it to be. The degredation of the druggist lifestyle does not justify the death of Heinz's wife.",NA,NA,"US",NA,1,1,1,"wrong","wrong","It's wrong and I can provide a valid reason.","wrong","not wrong","not wrong","not wrong","wrong","wrong",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,TRUE,2,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE
711,"cog_load","24588.799999952316","debriefing_form.html","external-html",54,288601,"0.0-7.0","56e95c069eb018000a3c2110","618b9cbf713205f8e1c56f02","618c25cc3eb47bafbe1f2b66","v6qtr4k951gqkol","60",0,1268.70000004768,1,11149.2999999523,"0","3377.8000000715256",1,0,0,"1",8,5516.39999997616,"Trolley","cog_load",1,"7773.899999976158",1,0,0,"1","""","""","""","""","""",6,0,1,0,0,1,0,0,0,0,"2",1,0,0,1,"3996.2000000476837",1,0,0,"1",6,"Sort of. Versions of the trolley problem are all over the internet. Never saw a version that involved pushing a fat person, though","Paul committed murder to save someone else's life. The fat man was innocent. Human life can't be quantified and weighed out, like 5 to 1. Murdering people is wrong, period.",NA,NA,"US",1,1,1,1,"wrong","wrong","It's wrong and I can provide a valid reason.","wrong","not wrong","not wrong","wrong","wrong","wrong",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,2,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE
