"participant","lfdn","external_lfdn","tester","dispcode","lastpage","quality","duration","c_0001","c_0002","consent","gender","age","normQ","Nrm_el","v_193","v_194","v_203","v_195","v_196","v_204","v_197","v_198","v_205","InJu1","v_206","v_207","v_208","v_209","v_210","v_211","v_212","v_213","v_214","Int_Rsn","hrm_st","nrm_st","v_224","v_225","v_226","v_227","v_228","v_229","v_230","v_231","v_232","InCf1","InRem1","InSWr1","InAR1","InRem2","InSWr2","InAR2","InRem3","InSWr3","InAR3","InCS","InStR","string_coded","critical_slide_wrong","Dumb_incl_string","v_215","v_216","v_217","v_218","v_219","v_220","v_221","v_222","v_223","InJu2","v_233","v_234","v_235","v_236","v_237","v_238","v_239","v_240","v_241","InChM","InCf2","Hrm_rel","Hrm_oth","hrm_Qs","InIrr","InCu","InRsn2","InGut","pot_hrm","box","rugb","v_296","v_306","v_307","v_297","v_298","v_299","v_300","v_301","v_302","v_303","v_304","v_305","v_181","NFC1","NFC2","NFC3","NFC4","NFC5","NFC6","NFC7","NFC8","NFC9","NFC10","NFC11","NFC12","NFC13","NFC14","NFC15","NFC16","NFC17","NFC18","ethics","ethStR","Prv_in","Prv_in_S","quota","quota_assignment","page_history","hflip","vflip","output_mode","javascript","flash","session_id","language","cleaned","ats","datetime","Ds_time","condition","cog_load_test","cog_load_inju","cog_load_Rs","cog_load_CS","cog_load_reju","cog_load_CS_num","cog_load_mch_num","cogload_num","Ju1_bin","Ju2_bin","wrong1","wrong2","NFC3R","NFC4R","NFC5R","NFC7R","NFC8R","NFC9R","NFC12R","NFC16R","NFC17R","NFC_tot","NFC","pot_hrm_bin","all_harm","all_harm_norm","nrm_all","Roz_fully_C","j1","j2","j3","j4","j5","j6","ch1","ch2","ch3","ch4","ch5","Rch1","Rch2","Rs_changed","Rs_changed_tot","changed","changed_tot","rs1","rs2","rs3","rs4","rs5","rs6","rs1_bin","rs2_bin","rs3_bin","reason_always","cog_Mch_num","Dumb_response","engaged","right_change","wrong1b","wrong2b"
2,60,0,"no tester","Completed (31)","2191622                     ",NA,478,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",22,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","I think it is important that we all try to follow a standard for ourselves. We should always try to do the right thing by ourselves and others, even when there doesn't seem to be any immediate harm. It's important to have standards and guideline set for ","not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted",5,"quoted","quoted","not quoted","not quoted","not quoted","not quoted","quoted","not quoted","quoted","I think that's a different scenario. I don't believe making love is harmful as long as they are both single and safe and respect eachother                                                                                                                    ","no harm mentioned","norms not mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",7,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",7,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","4: neutral",7,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all",7,"7: Extremely",4,"No","No","France","philosopher, chemist and mathematician","1641","quoted","quoted","not quoted","quoted","not quoted","not quoted","not quoted","not quoted","quoted","Difficult",7,7,2,3,2,8,3,6,3,3,3,1,8,8,8,8,8,8,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2191559,2191560,2191561,2191562,2191563,2191564,2191565,2191566,2191567,2191568,2191569,2191570,2191571,2191572,2191573,2191574,2191575,2191576,2191577,2191578,2191579,2191580,2191581,2191582,2191583,2191584,2191585,2191586,2191587,2191588,2191589,219159","Flipped","Flipped","HTML",NA,NA,"781b6abf4065524e4c36cd32adb8d862                                                                                                ","English","Not cleaned",1493495420,"2017-04-29 19:50:20           ",29,"cog_load",FALSE,FALSE,TRUE,TRUE,TRUE,9,6,3,"right","right","not wrong","not wrong",8,7,8,7,4,7,9,2,2,114,1.33333333333333,"neutral","true","true","true","false","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,3,"nothing wrong",TRUE,"right initially","not wrong","not wrong"
3,53,0,"no tester","Completed (31)","2191622                     ",NA,894,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",71,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","It is always wrong to violate a moral norm.One can think of animal cruelty,environment poisoning.                                                                                                                                                             ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",7,"quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","It happened with both agreements and they both used birthcontrol.                                                                                                                                                                                             ","no harm mentioned","norms not mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",7,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",7,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",7,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all",7,"1: Not at all",3,"Yes","No","France","philosopher, mathematician and scientist","1637","quoted","quoted","not quoted","not quoted","not quoted","not quoted","quoted","not quoted","quoted","Easy",4,5,4,5,4,4,4,5,6,6,6,7,6,5,6,5,5,3,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2191559,2191560,2191561,2191562,2191563,2191564,2191565,2191566,2191567,2191568,2191569,2191570,2191571,2191572,2191573,2191574,2191575,2191576,2191577,2191578,2191579,2191580,2191581,2191582,2191583,2191584,2191585,2191586,2191587,2191588,2191589,219159","Not flipped","Flipped","HTML",NA,NA,"e7b24e9b22210e2fb29eb87f356b0adf                                                                                                ","English","Not cleaned",1493494275,"2017-04-29 19:31:15           ",97,"cog_load",TRUE,TRUE,TRUE,TRUE,TRUE,9,4,4,"right","right","not wrong","not wrong",6,5,6,6,5,4,3,5,5,90,0,"wrong","true","true","true","false","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,5,"nothing wrong",TRUE,"right initially","not wrong","not wrong"
4,24,0,"no tester","Completed (31)","2191622                     ",NA,665,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",33,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","Julie and Mark aren't really harming anyone, and appear to be adults in a sound state of mind. Thus, they don't seem to be harming themselves, either. There seems to be no issue of public concern here.                                                     ","no harm mentioned","norms not mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",5,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",5,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all",6,"2",4,"No","No","France","philosopher, mathematician and scientist","1637","quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted","not quoted","Easy",7,8,2,2,2,8,2,4,4,8,6,2,4,8,8,4,4,8,"Yes","I have completed one graduate level seminar in ethics during the early modern period (e.g., Spinoza, Hume).                                                                                                                                                   ","yes","I have encountered incest hypotheticals once or twice in the context of classroom discussion.                                                                                                                                                                 ",0,"-99                                                                                                                                                                                                                                                           ","2191559,2191560,2191561,2191562,2191563,2191564,2191565,2191567,2191568,2191569,2191570,2191571,2191572,2191573,2191574,2191575,2191576,2191577,2191578,2191579,2191580,2191581,2191582,2191583,2191584,2191585,2191586,2191587,2191588,2191589,2191590,219159","Flipped","Not flipped","HTML",NA,NA,"113056db135918726f464f6511b34287                                                                                                ","English","Not cleaned",1493471957,"2017-04-29 13:19:17           ",50,"cog_load",TRUE,TRUE,TRUE,TRUE,TRUE,9,8,4,"neutral","neutral","not wrong","not wrong",8,8,8,8,6,6,8,6,6,129,2.16666666666667,"neutral","true","true","true","true","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,5,"nothing wrong",TRUE,"nothing wrong",NA,NA
5,68,0,"no tester","Completed (31)","2191622                     ",NA,709,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",57,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","They were both consenting adults. They were careful to avoid any chance of pregnancy. Secrets can be damaging, but according to the information I was given, it made them feel closer to each other to have this secret.  I don't see any problem with it. No ","no harm mentioned","norms not mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",6,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",6,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","4: neutral","1: Not at all",6,"4: neutral",4,"No","No","France","philosopher, mathematician and scientist","1637","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","quoted","not quoted","Difficult",6,6,2,5,1,6,2,6,5,7,7,2,4,5,7,2,5,8,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2191559,2191560,2191561,2191562,2191563,2191564,2191565,2191567,2191568,2191569,2191570,2191571,2191572,2191573,2191574,2191575,2191576,2191577,2191578,2191579,2191580,2191581,2191582,2191583,2191584,2191585,2191586,2191587,2191588,2191589,2191590,219159","Not flipped","Flipped","HTML",NA,NA,"745e81cabf3ee6c8d1975013b2e05e93                                                                                                ","English","Not cleaned",1493496824,"2017-04-29 20:13:44           ",35,"cog_load",TRUE,FALSE,TRUE,TRUE,TRUE,9,4,3,"neutral","neutral","not wrong","not wrong",8,5,9,8,4,5,8,8,5,116,1.44444444444444,"neutral","true","true","true","true","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,3,"nothing wrong",TRUE,"nothing wrong",NA,NA
6,72,0,"no tester","Completed (31)","2191622                     ",NA,483,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",30,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","quoted","not quoted","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted",7,"quoted","not quoted","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","Was wrong pattern                                                                                                                                                                                                                                             ","no harm mentioned","norms not mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",7,"Yes","No","No, I have no reason","Yes","No","No, I have no reason","Yes","No","No, I have no reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",7,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",6,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","2",1,"1: Not at all",3,"No","No","France","philosopher, chemist and mathematician","1641","quoted","quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted","quoted","Extremely difficult",7,6,5,3,8,4,5,7,5,3,5,5,5,3,7,5,7,4,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2191559,2191560,2191561,2191562,2191563,2191564,2191565,2191567,2191568,2191569,2191570,2191571,2191572,2191573,2191574,2191575,2191576,2191577,2191578,2191579,2191580,2191581,2191582,2191583,2191584,2191585,2191586,2191587,2191588,2191589,2191590,219159","Not flipped","Flipped","HTML",NA,NA,"ab3d299d344296e950173c65a1d5d0a0                                                                                                ","English","Not cleaned",1493498100,"2017-04-29 20:35:00           ",4,"cog_load",FALSE,FALSE,TRUE,TRUE,TRUE,9,4,3,"right","right","not wrong","not wrong",5,7,2,5,3,5,5,5,3,84,-0.333333333333333,"wrong","true","true","true","true","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","no reason","no reason","no reason","unstated","unstated","no reason","no reason","no reason",FALSE,1,"nothing wrong",TRUE,"right initially","not wrong","not wrong"
7,69,0,"no tester","Completed (31)","2191622                     ",NA,524,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",65,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","it's not great but it's a one time thing and probably neither was hurt and certainly no one else was                                                                                                                                                          ","no harm mentioned","norms not mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",5,"Yes","No","No, I have no reason","Yes","No","No, I have no reason","Yes","No","No, I have no reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",5,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","2","2",4,"4: neutral",3,"No","No","France","philosopher, mathematician and scientist","1667","quoted","quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted","quoted","Difficult",6,6,3,3,2,5,4,4,4,6,8,3,4,6,6,4,4,3,"Yes","philosophy major long time ago                                                                                                                                                                                                                                ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2191559,2191560,2191561,2191562,2191563,2191564,2191565,2191567,2191568,2191569,2191570,2191571,2191572,2191573,2191574,2191575,2191576,2191577,2191578,2191579,2191580,2191581,2191582,2191583,2191584,2191585,2191586,2191587,2191588,2191589,2191590,219159","Not flipped","Not flipped","HTML",NA,NA,"79a23934785e5c67bfab78a5a33a714f                                                                                                ","English","Not cleaned",1493497270,"2017-04-29 20:21:10           ",14,"cog_load",TRUE,TRUE,TRUE,TRUE,TRUE,9,4,4,"neutral","neutral","not wrong","not wrong",7,7,8,6,6,6,7,6,6,109,1.05555555555556,"wrong","true","true","true","true","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","no reason","no reason","no reason","unstated","unstated","no reason","no reason","no reason",FALSE,3,"nothing wrong",TRUE,"nothing wrong",NA,NA
8,23,0,"no tester","Completed (31)","2191622                     ",NA,678,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",47,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","they were happy with what they had done, and no one else was involved                                                                                                                                                                                         ","no harm mentioned","norms not mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",5,"Yes","No","Unsure","Yes","No","Unsure","Yes","No","Unsure","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",5,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","2",6,"2",3,"No","No","France","philosopher, mathematician and scientist","1627","quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted","not quoted","Difficult",6,6,3,3,3,6,3,4,3,7,7,3,6,6,6,3,3,7,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2191559,2191560,2191561,2191562,2191563,2191564,2191565,2191567,2191568,2191569,2191570,2191571,2191572,2191573,2191574,2191575,2191576,2191577,2191578,2191579,2191580,2191581,2191582,2191583,2191584,2191585,2191586,2191587,2191588,2191589,2191590,219159","Flipped","Flipped","HTML",NA,NA,"061e223876acb8dafe7704d8cad2b9d8                                                                                                ","English","Not cleaned",1493471063,"2017-04-29 13:04:23           ",29,"cog_load",TRUE,TRUE,TRUE,TRUE,TRUE,9,8,4,"neutral","neutral","not wrong","not wrong",7,7,7,7,6,7,7,7,7,119,1.61111111111111,"wrong","true","true","true","true","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","unstated","unstated","unstated","unstated","unstated","no reason","no reason","no reason",FALSE,3,"nothing wrong",TRUE,"nothing wrong",NA,NA
9,5,0,"no tester","Completed (31)","2191622                     ",NA,2158,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",58,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","When you know something is wrong, and you violate that law any way. You are developing a practice that could lead to a habit that will be ingrained in your unconscious subconscious. Then your body and mind will execute the unwanted act when your unconsci","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","People with the same family body genes cannot mix body fluids. Medical problems arise. It is not the way the creator allows us to function in life.                                                                                                           ","harm mentioned","norms mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",3,"No","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",NA,NA,"It's wrong but I can't think of a reason.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",3,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","7: Extremely Irritated","6",5,"7: Extremely",5,"No","No","France","philosopher, mathematician and scientist","1637","not quoted","quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","Difficult",6,6,3,4,4,6,5,6,6,6,6,4,5,6,6,7,7,6,"Yes","Ethics and Values, Ethics of Management, and Humanities were colleges classes I completed. Military Leadership and Management courses have some Ethics role plays in them.                                                                                    ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2191559,2191560,2191561,2191562,2191563,2191564,2191565,2191566,2191567,2191568,2191569,2191570,2191571,2191572,2191573,2191574,2191575,2191576,2191577,2191578,2191579,2191580,2191581,2191582,2191583,2191584,2191585,2191586,2191587,2191588,2191589,219159","Flipped","Not flipped","HTML",NA,NA,"c1bfa15623b0b8da1c9c928d9fe578b0                                                                                                ","English","Not cleaned",1493463028,"2017-04-29 10:50:28           ",71,"cog_load",TRUE,TRUE,TRUE,TRUE,TRUE,9,7,4,"wrong","wrong","wrong","wrong",7,6,6,5,4,4,6,3,3,97,0.388888888888889,"right","true","false","false","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","no reason","unstated","reason","reason","reason",TRUE,3,"admission",TRUE,"dumbfounded","wrong","wrong"
12,38,0,"no tester","Completed (31)","2191622                     ",NA,1665,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",51,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",3,"quoted","quoted","not quoted","not quoted","not quoted","quoted","not quoted","quoted","not quoted","Relations between siblings has usually been deemed immoral, for many reason, including religious reasons, but also in the past for reasons related to the birth of children and biological diversity, children born to parents who are to closely related are ","harm mentioned","norms mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",6,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","Now it is perceived as immoral, if it became the  norm , more people would do it. Not everyone would be as careful as these two, and children would be born to them. So other people would be harmed, either by the children being more susceptible to defect ","reason",NA,"It's wrong and I can provide a valid reason.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",3,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",6,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all",6,"6",4,"No","No","France","philosopher, mathematician and scientist","1637","quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted","not quoted","neither difficult nor easy",6,6,4,4,3,6,2,6,5,4,4,5,4,3,4,5,5,3,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2191559,2191560,2191561,2191562,2191563,2191564,2191565,2191567,2191568,2191569,2191570,2191571,2191572,2191573,2191574,2191575,2191576,2191577,2191578,2191579,2191580,2191581,2191582,2191583,2191584,2191585,2191586,2191587,2191588,2191589,2191590,219159","Flipped","Not flipped","HTML",NA,NA,"f07147098523b4d629154de0af5e1d58                                                                                                ","English","Not cleaned",1493492691,"2017-04-29 19:04:51           ",64,"cog_load",TRUE,FALSE,TRUE,TRUE,TRUE,9,8,3,"wrong","wrong","wrong","wrong",6,6,7,8,4,5,5,5,5,91,0.0555555555555554,"neutral","true","true","true","true","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,4,"reasons",TRUE,"reasons","wrong","wrong"
13,39,0,"no tester","Completed (31)","2191622                     ",NA,629,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",48,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",3,"quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","Although it's socially wrong for siblings to have sex, they weren't harming anyone.                                                                                                                                                                           ","no harm mentioned","norms mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",6,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","1: Not at all",7,"No, I am not able to believe this","Yes, I am able to believe this","harm","1: Not at all","1: Not at all",7,"1: Not at all",2,"No","No","France","philosopher, chemist and mathematician","1673","quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted","not quoted","Difficult",5,4,4,4,6,1,6,6,6,4,6,4,4,6,6,6,4,4,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2191559,2191560,2191561,2191562,2191563,2191564,2191565,2191567,2191568,2191569,2191570,2191571,2191572,2191573,2191574,2191575,2191576,2191577,2191578,2191579,2191580,2191581,2191582,2191583,2191584,2191585,2191586,2191587,2191588,2191589,2191590,219159","Flipped","Not flipped","HTML",NA,NA,"b7a814e38a80b363cc80660709a02c23                                                                                                ","English","Not cleaned",1493492696,"2017-04-29 19:04:56           ",52,"cog_load",TRUE,TRUE,TRUE,TRUE,FALSE,9,8,3,"wrong","neutral","wrong","not wrong",6,6,4,4,4,4,6,4,6,84,-0.333333333333333,"wrong","true","true","true","false","wrong","not wrong","not wrong","not wrong","not wrong","not wrong",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,1,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,3,"nothing wrong",TRUE,"nothing wrong","wrong",NA
