"participant","lfdn","external_lfdn","tester","dispcode","lastpage","quality","duration","c_0001","c_0002","consent","gender","age","normQ","Nrm_el","v_193","v_194","v_203","v_195","v_196","v_204","v_197","v_198","v_205","InJu1","v_206","v_207","v_208","v_209","v_210","v_211","v_212","v_213","v_214","Int_Rsn","hrm_st","nrm_st","v_224","v_225","v_226","v_227","v_228","v_229","v_230","v_231","v_232","InCf1","InRem1","InSWr1","InAR1","InRem2","InSWr2","InAR2","InRem3","InSWr3","InAR3","InCS","InStR","string_coded","critical_slide_wrong","Dumb_incl_string","v_215","v_216","v_217","v_218","v_219","v_220","v_221","v_222","v_223","InJu2","v_233","v_234","v_235","v_236","v_237","v_238","v_239","v_240","v_241","InChM","InCf2","v_181","Hrm_rel","Hrm_oth","hrm_Qs","InIrr","InCu","InRsn2","InGut","pot_hrm","box","rugb","NFC1","NFC2","NFC3","NFC4","NFC5","NFC6","NFC7","NFC8","NFC9","NFC10","NFC11","NFC12","NFC13","NFC14","NFC15","NFC16","NFC17","NFC18","ethics","ethStR","Prv_in","Prv_in_S","quota","quota_assignment","page_history","hflip","vflip","output_mode","javascript","flash","session_id","language","cleaned","ats","datetime","date_of_last_access","date_of_first_mail","condition","cog_load_test","cog_load_inju","cog_load_Rs","cog_load_CS","cog_load_reju","cog_load_CS_num","cogload_num","Ju1_bin","Ju2_bin","wrong1","wrong2","NFC3R","NFC4R","NFC5R","NFC7R","NFC8R","NFC9R","NFC12R","NFC16R","NFC17R","NFC_tot","NFC","pot_hrm_bin","all_harm","all_harm_norm","nrm_all","Roz_fully_C","j1","j2","j3","j4","j5","j6","ch1","ch2","ch3","ch4","ch5","Rch1","Rch2","Rs_changed","Rs_changed_tot","changed","changed_tot","rs1","rs2","rs3","rs4","rs5","rs6","rs1_bin","rs2_bin","rs3_bin","reason_always","cog_Mch_num","Dumb_response","engaged","right_change","wrong1b","wrong2b"
1,44,0,"no tester","Completed (31)","2186676                     ",NA,372,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",20,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","What I mean by this is, because you don't want to make fun of people who are gay, lesbian, bi-sexual or transgender, for no apparent reason. It's not logical. If you don't think about your actions, there will be always be consequences you are unaware of.","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",7,"quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","Because they did the right things, just in case they needed to be protected from harm.                                                                                                                                                                        ","no harm mentioned","norms not mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",6,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",6,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",7,"Extremely easy","Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all",7,"2",4,"No","No",3,7,5,4,4,4,5,5,4,4,5,5,5,5,5,5,5,4,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2186613,2186614,2186615,2186616,2186617,2186618,2186619,2186620,2186619,2186620,2186621,2186622,2186623,2186624,2186625,2186626,2186627,2186627,2186628,2186629,2186630,2186631,2186632,2186633,2186634,2186635,2186636,2186637,2186638,2186639,2186640,218664","Not flipped","Not flipped","HTML",NA,NA,"61e85d9d2896f8384b8d1738a8382560                                                                                                ","English","Not cleaned",1493259243,"2017-04-27 02:14:03           ","2017-04-27 02:20:15           ","0000-00-00 00:00:00           ","cog_load",TRUE,TRUE,TRUE,TRUE,TRUE,9,4,"right","right","not wrong","not wrong",5,6,6,5,5,6,5,5,5,90,0,"neutral","true","true","true","false","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,7,"nothing wrong",TRUE,"right initially","not wrong","not wrong"
2,49,0,"no tester","Completed (31)","2186676                     ",NA,459,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",24,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"quoted","quoted","not quoted","not quoted","not quoted","quoted","not quoted","quoted","not quoted","I am not those two and havent lived their life. nobody got hurt, nobody knows about it, and neither of them feel regret. it is not my business and I don't feel I can say what i right or wrong for them                                                      ","no harm mentioned","norms not mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",4,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",5,"Easy","Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all",7,"7: Extremely",4,"No","No",6,6,2,2,2,6,2,8,8,9,9,1,7,9,9,3,3,6,"No","n/a                                                                                                                                                                                                                                                           ","no","n/a                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2186613,2186614,2186615,2186616,2186617,2186618,2186619,2186621,2186622,2186623,2186624,2186625,2186626,2186627,2186628,2186629,2186630,2186631,2186632,2186633,2186634,2186635,2186636,2186637,2186638,2186639,2186640,2186641,2186642,2186643,2186644,218664","Flipped","Not flipped","HTML",NA,NA,"239a7b2d271f2c1ad479ac7938865a1f                                                                                                ","English","Not cleaned",1493261229,"2017-04-27 02:47:09           ","2017-04-27 02:54:48           ","0000-00-00 00:00:00           ","cog_load",TRUE,FALSE,TRUE,TRUE,TRUE,9,3,"neutral","neutral","not wrong","not wrong",8,8,8,8,2,2,9,7,7,126,2,"neutral","true","true","true","true","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,5,"nothing wrong",TRUE,"nothing wrong",NA,NA
3,35,0,"no tester","Suspended (22)","2186675                     ",NA,414,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",30,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",6,"quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","I think that the siblings can make decisions for themselves. Despite what my personal preferences might be.                                                                                                                                                   ","no harm mentioned","norms not mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",6,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",6,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",6,"Easy","Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all",7,"1: Not at all",4,"No","No",9,9,8,8,9,7,8,6,8,8,9,8,7,7,7,8,7,8,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2186613,2186614,2186615,2186616,2186617,2186618,2186619,2186621,2186622,2186623,2186624,2186625,2186626,2186627,2186628,2186629,2186630,2186631,2186632,2186633,2186634,2186635,2186636,2186637,2186638,2186639,2186640,2186641,2186642,2186643,2186644,218664","Flipped","Not flipped","HTML",NA,NA,"f9814906959762c38881407056a72be1                                                                                                ","English","Not cleaned",1493257201,"2017-04-27 01:40:01           ","2017-04-27 01:47:02           ","0000-00-00 00:00:00           ","cog_load",TRUE,TRUE,TRUE,TRUE,TRUE,9,4,"right","right","not wrong","not wrong",2,2,1,2,4,2,2,2,3,91,0.0555555555555554,"neutral","true","true","true","true","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,5,"nothing wrong",TRUE,"right initially","not wrong","not wrong"
4,15,0,"no tester","Completed (31)","2186676                     ",NA,446,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",22,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","quoted","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","not quoted","quoted",5,"quoted","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","not quoted","quoted","It is just a little wrong because they are sibilings but they are not harming anyone else, so it's not totally wrong.                                                                                                                                         ","no harm mentioned","norms not mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","not quoted","quoted",7,"No","No","Unsure","Yes","No","No, I have no reason","Yes","No","No, I have no reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","quoted","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","not quoted",4,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",4,"Extremely difficult","Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all",4,"1: Not at all",4,"No","No",1,1,9,9,9,1,9,9,9,1,1,7,1,6,1,5,7,6,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2186613,2186614,2186615,2186616,2186617,2186618,2186619,2186621,2186622,2186623,2186624,2186625,2186626,2186627,2186628,2186629,2186630,2186631,2186632,2186633,2186634,2186635,2186636,2186637,2186638,2186639,2186640,2186641,2186642,2186643,2186644,218664","Flipped","Not flipped","HTML",NA,NA,"a457a710f9b4295c9bb70789ac8f081f                                                                                                ","English","Not cleaned",1493252996,"2017-04-27 00:29:56           ","2017-04-27 00:37:22           ","0000-00-00 00:00:00           ","cog_load",FALSE,FALSE,FALSE,FALSE,TRUE,4,1,"right","neutral","not wrong","not wrong",1,1,1,1,1,1,3,5,3,36,-3,"neutral","true","true","true","true","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1,FALSE,0,"unstated","unstated","no reason","no reason","unstated","unstated","no reason","no reason","no reason",FALSE,1,"nothing wrong",FALSE,"right initially","not wrong",NA
5,2,0,"no tester","Completed (31)","2186676                     ",NA,862,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",25,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",5,"quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","It may be wrong according to God, but I personally don't see it as wrong as many other things that happen in the world. In this scenario they kept it to themselves, so no harm no foul.                                                                      ","no harm mentioned","norms mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",3,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",5,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",3,"neither difficult nor easy","Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all",4,"5",4,"No","No",9,9,1,1,1,1,7,1,7,7,7,2,5,4,7,5,5,8,"Yes","Environmental ethics class, mostly debating about if animals have intrinsic value or not.                                                                                                                                                                     ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2186613,2186614,2186615,2186616,2186617,2186618,2186619,2186621,2186622,2186623,2186624,2186625,2186626,2186627,2186628,2186629,2186630,2186631,2186632,2186633,2186634,2186635,2186636,2186637,2186638,2186639,2186640,2186641,2186642,2186643,2186644,218664","Not flipped","Not flipped","HTML",NA,NA,"29cf8b96e925b4a4dcaa8db4cd384cfc                                                                                                ","English","Not cleaned",1493251122,"2017-04-26 23:58:42           ","2017-04-27 00:13:04           ","0000-00-00 00:00:00           ","cog_load",TRUE,TRUE,TRUE,TRUE,TRUE,9,4,"right","right","not wrong","not wrong",9,9,9,3,9,3,8,5,5,117,1.5,"neutral","true","true","true","true","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,4,"nothing wrong",TRUE,"right initially","not wrong","not wrong"
6,28,0,"no tester","Completed (31)","2186676                     ",NA,569,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",63,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","July and Mark harmed no one, and they took precautions to ensure there would be no long term effects of their actions. There should be no negative consequences.                                                                                              ","no harm mentioned","norms not mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",5,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",5,"neither difficult nor easy","Yes, I am able to believe this","Yes, I am able to believe this","no harm","2","2",5,"2",1,"Yes","No",5,7,1,1,1,6,1,5,3,9,9,1,4,9,5,1,6,4,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2186613,2186614,2186615,2186616,2186617,2186618,2186619,2186621,2186622,2186623,2186624,2186625,2186626,2186627,2186628,2186629,2186630,2186631,2186632,2186633,2186634,2186635,2186636,2186637,2186638,2186639,2186640,2186641,2186642,2186643,2186644,218664","Not flipped","Not flipped","HTML",NA,NA,"30e21c351a4bb2d39eb86d6979238cc2                                                                                                ","English","Not cleaned",1493256178,"2017-04-27 01:22:58           ","2017-04-27 01:32:27           ","0000-00-00 00:00:00           ","cog_load",TRUE,TRUE,TRUE,TRUE,TRUE,9,4,"neutral","neutral","not wrong","not wrong",9,9,9,9,5,7,9,9,4,128,2.11111111111111,"wrong","true","true","true","true","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,4,"nothing wrong",TRUE,"nothing wrong",NA,NA
7,43,0,"no tester","Completed (31)","2186676                     ",NA,415,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",29,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","quoted","not quoted","No one was hurt and nobody got pregnant, and it was only once, so I don't see the big deal if both of them were into it.                                                                                                                                      ","no harm mentioned","norms not mentioned","not quoted","quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","not quoted",6,"No","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",7,"Difficult","Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all",4,"4: neutral",4,"No","No",6,6,3,5,3,6,3,3,3,7,7,2,7,7,7,4,4,5,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2186613,2186614,2186615,2186616,2186617,2186618,2186619,2186621,2186622,2186623,2186624,2186625,2186626,2186627,2186628,2186629,2186630,2186631,2186632,2186633,2186634,2186635,2186636,2186637,2186638,2186639,2186640,2186641,2186642,2186643,2186644,218664","Not flipped","Not flipped","HTML",NA,NA,"b505bbcd3047edc047851073bd1c380f                                                                                                ","English","Not cleaned",1493259078,"2017-04-27 02:11:18           ","2017-04-27 02:18:13           ","0000-00-00 00:00:00           ","cog_load",TRUE,FALSE,FALSE,TRUE,TRUE,9,2,"neutral","neutral","not wrong","not wrong",7,5,7,7,7,7,8,6,6,118,1.55555555555556,"neutral","true","true","true","true","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,3,"nothing wrong",TRUE,"nothing wrong",NA,NA
8,34,0,"no tester","Suspended (22)","2186675                     ",NA,420,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",23,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","No one was hurt in the situation and there was minimal risk involved                                                                                                                                                                                          ","no harm mentioned","norms not mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",5,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",5,"Difficult","Yes, I am able to believe this","Yes, I am able to believe this","no harm","2","4: neutral",6,"2",4,"Yes","Yes",3,9,1,2,2,9,2,2,3,9,7,1,8,9,9,2,3,8,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2186613,2186614,2186615,2186616,2186617,2186618,2186619,2186621,2186622,2186623,2186624,2186625,2186626,2186627,2186628,2186629,2186630,2186631,2186632,2186633,2186634,2186635,2186636,2186637,2186638,2186639,2186640,2186641,2186642,2186643,2186644,218664","Flipped","Not flipped","HTML",NA,NA,"d043c9c282b21af20bf0d548c32a69e4                                                                                                ","English","Not cleaned",1493257189,"2017-04-27 01:39:49           ","2017-04-27 01:47:06           ","0000-00-00 00:00:00           ","cog_load",TRUE,TRUE,TRUE,TRUE,TRUE,9,4,"neutral","neutral","not wrong","not wrong",9,8,8,8,8,7,9,8,7,143,2.94444444444444,"neutral","true","true","true","true","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,3,"nothing wrong",TRUE,"nothing wrong",NA,NA
9,33,0,"no tester","Suspended (22)","2186613                     ",NA,-1,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",60,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","quoted","not quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","quoted","not quoted","Nobody got hurt                                                                                                                                                                                                                                               ","no harm mentioned","norms not mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",1,"Yes","No","No, I have no reason","Yes","No","No, I have no reason","Yes","No","No, I have no reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",4,"neither difficult nor easy","Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all",4,"7: Extremely",2,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-66                                                                                                                                                                                                                                                           ",NA,"-66                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2186613,2186614,2186615,2186616,2186617,2186618,2186619,2186621,2186622,2186623,2186624,2186625,2186626,2186627,2186628,2186629,2186630,2186631,2186632,2186633,2186634,2186635,2186636,2186637,2186638,2186639,2186640,2186641,2186642,2186643,2186644,218664","Not flipped","Not flipped","HTML",NA,NA,"c25df390e5cbe2c73e225d8595c71193                                                                                                ","English","Not cleaned",1493257092,"2017-04-27 01:38:12           ","2017-04-27 04:04:43           ","0000-00-00 00:00:00           ","cog_load",FALSE,FALSE,TRUE,TRUE,TRUE,9,3,"neutral","neutral","not wrong","not wrong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wrong","true","true","true","true","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","no reason","no reason","no reason","unstated","unstated","no reason","no reason","no reason",FALSE,4,"nothing wrong",TRUE,"nothing wrong",NA,NA
10,17,0,"no tester","Completed (31)","2186676                     ",NA,443,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",52,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","I think there are reasons, good and valid reasons, to violate a norm, but not just because it's fun.  I think it needs thought and a deeper, more relevant reason.                                                                                            ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","They were consenting adults and on birth control.  It didn't hurt anyone.                                                                                                                                                                                     ","no harm mentioned","norms not mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",6,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",6,"Very difficult","Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all",7,"1: Not at all",3,"No","No",8,8,2,2,1,8,1,3,3,8,7,2,6,8,8,2,1,9,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2186613,2186614,2186615,2186616,2186617,2186618,2186619,2186620,2186621,2186622,2186623,2186624,2186625,2186626,2186627,2186628,2186629,2186630,2186631,2186632,2186633,2186634,2186635,2186636,2186637,2186638,2186639,2186640,2186641,2186642,2186643,218664","Not flipped","Flipped","HTML",NA,NA,"8802c66eb3e07c39a3dec179313033e2                                                                                                ","English","Not cleaned",1493253789,"2017-04-27 00:43:09           ","2017-04-27 00:50:32           ","0000-00-00 00:00:00           ","cog_load",TRUE,FALSE,TRUE,TRUE,TRUE,9,3,"neutral","neutral","not wrong","not wrong",8,8,9,9,7,7,8,8,9,143,2.94444444444444,"wrong","true","true","true","false","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,2,"nothing wrong",TRUE,"nothing wrong",NA,NA
