"condition","InCS","cog_load_CS_num","NFC","reason_always","changed","gender","Ju1_bin","Ju2_bin","right_change","study","right_right"
"cog_load","There is nothing wrong.",6,1.5,"reason","changed","Female","neutral","wrong","nothing wrong","study_1",FALSE
"cog_load","There is nothing wrong.",7,1.94444444444444,"reason","not_changed","Male","neutral","neutral","nothing wrong","study_1",FALSE
"cog_load","There is nothing wrong.",5,1,"not_always_reason","not_changed","Male","right","right","right initially","study_1",TRUE
"cog_load","There is nothing wrong.",8,0,"reason","not_changed","Female","neutral","neutral","nothing wrong","study_1",FALSE
"cog_load","There is nothing wrong.",2,-0.166666666666667,"not_always_reason","not_changed","Female","neutral","neutral","nothing wrong","study_1",FALSE
"cog_load","There is nothing wrong.",3,-0.5,"not_always_reason","not_changed","Female","neutral","neutral","nothing wrong","study_1",FALSE
"cog_load","There is nothing wrong.",4,0.777777777777778,"not_always_reason","not_changed","Female","neutral","right","nothing wrong","study_1",FALSE
"cog_load","There is nothing wrong.",4,1.11111111111111,"reason","changed","Female","wrong","neutral","nothing wrong","study_1",FALSE
"cog_load","There is nothing wrong.",8,1.61111111111111,"reason","not_changed","Female","right","right","right initially","study_1",TRUE
"cog_load","There is nothing wrong.",5,0.833333333333333,"not_always_reason","changed","Male","wrong","neutral","nothing wrong","study_1",FALSE
"cog_load","There is nothing wrong.",5,-0.388888888888889,"not_always_reason","changed","Female","neutral","neutral","nothing wrong","study_1",FALSE
"cog_load","There is nothing wrong.",3,0.666666666666667,"reason","not_changed","Female","right","right","right initially","study_1",TRUE
"cog_load","There is nothing wrong.",7,-0.444444444444445,"reason","not_changed","Female","right","right","right initially","study_1",TRUE
"cog_load","There is nothing wrong.",7,1.33333333333333,"not_always_reason","not_changed","Female","right","right","right initially","study_1",TRUE
"cog_load","There is nothing wrong.",8,-1.5,"not_always_reason","not_changed","Female","neutral","neutral","nothing wrong","study_1",FALSE
"cog_load","It's wrong but I can't think of a reason.",7,0.722222222222222,"not_always_reason","changed","Female","wrong","wrong","dumbfounded","study_1",FALSE
"cog_load","It's wrong but I can't think of a reason.",2,-3.55555555555556,"not_always_reason","not_changed","Female","wrong","wrong","dumbfounded","study_1",FALSE
"cog_load","It's wrong but I can't think of a reason.",7,0.444444444444445,"not_always_reason","not_changed","Female","wrong","wrong","dumbfounded","study_1",FALSE
"cog_load","It's wrong but I can't think of a reason.",5,0.722222222222222,"not_always_reason","not_changed","Female","wrong","wrong","dumbfounded","study_1",FALSE
"cog_load","It's wrong but I can't think of a reason.",8,-0.111111111111111,"not_always_reason","not_changed","Female","wrong","wrong","dumbfounded","study_1",FALSE
